"File","Words","Lines","Chars","Extension","Directory"
"package.json","49","16","514",".json","package.json"
"README.md","422","115","3848",".md","README.md"
"backend\.env","9","7","270",".env","backend"
"backend\index.js","248","139","4358",".js","backend"
"backend\package.json","47","25","632",".json","backend"
"backend\functions\admin.js","234","103","3630",".js","backend"
"backend\functions\ai-classify.js","337","130","4555",".js","backend"
"backend\functions\auth.js","154","75","2248",".js","backend"
"backend\functions\budget.js","434","160","5386",".js","backend"
"backend\functions\complaints.js","332","151","5089",".js","backend"
"backend\functions\forum.js","335","164","5381",".js","backend"
"backend\functions\notifications.js","131","62","1902",".js","backend"
"backend\models\Comment.js","35","16","358",".js","backend"
"backend\models\Complaint.js","83","31","904",".js","backend"
"backend\models\ForumPost.js","78","38","884",".js","backend"
"backend\models\Notification.js","47","22","533",".js","backend"
"backend\models\User.js","51","23","561",".js","backend"
"backend\utils\auth.js","103","45","1212",".js","backend"
"backend\utils\formatters.js","175","90","2117",".js","backend"
"backend\utils\validation.js","99","54","1345",".js","backend"
"firebase\firebase.json","18","23","410",".json","firebase"
"firebase\firestore.rules","108","42","1640",".rules","firebase"
"firebase\storage.rules","61","27","843",".rules","firebase"
"frontend\.env","7","7","340",".env","frontend"
"frontend\firebase.json","10","16","248",".json","frontend"
"frontend\package.json","59","35","879",".json","frontend"
"frontend\postcss.config.js","5","6","84",".js","frontend"
"frontend\tailwind.config.js","98","60","1518",".js","frontend"
"frontend\vite.config.js","23","14","249",".js","frontend"
"frontend\public\index.html","52","17","778",".html","frontend"
"frontend\public\manifest.json","33","16","404",".json","frontend"
"frontend\src\firebase.js","65","25","1005",".js","frontend"
"frontend\src\index.css","109","65","1552",".css","frontend"
"frontend\src\index.js","18","10","238",".js","frontend"
"frontend\src\components\auth\ProtectedRoute.jsx","37","16","430",".jsx","frontend"
"frontend\src\components\auth\RoleBasedRoute.jsx","47","24","574",".jsx","frontend"
"frontend\src\components\common\Button.jsx","90","44","1239",".jsx","frontend"
"frontend\src\components\common\Card.jsx","27","14","351",".jsx","frontend"
"frontend\src\components\common\ErrorAlert.jsx","55","24","748",".jsx","frontend"
"frontend\src\components\common\Input.jsx","65","37","991",".jsx","frontend"
"frontend\src\components\common\LoadingSpinner.jsx","52","28","617",".jsx","frontend"
"frontend\src\components\common\Modal.jsx","81","31","978",".jsx","frontend"
"frontend\src\components\common\Pagination.jsx","117","59","1738",".jsx","frontend"
"frontend\src\components\common\SuccessAlert.jsx","55","24","772",".jsx","frontend"
"frontend\src\components\complaints\ComplaintCard.jsx","211","87","3574",".jsx","frontend"
"frontend\src\components\complaints\ComplaintForm.jsx","386","174","6235",".jsx","frontend"
"frontend\src\components\complaints\PriorityBadge.jsx","74","35","848",".jsx","frontend"
"frontend\src\components\complaints\StatusTracker.jsx","182","67","2582",".jsx","frontend"
"frontend\src\components\complaints\UpvoteButton.jsx","57","27","806",".jsx","frontend"
"frontend\src\components\dashboard\BudgetChart.jsx","204","71","2899",".jsx","frontend"
"frontend\src\components\dashboard\DepartmentStats.jsx","365","131","5627",".jsx","frontend"
"frontend\src\components\dashboard\PriorityQueue.jsx","324","142","6136",".jsx","frontend"
"frontend\src\components\dashboard\StatsCards.jsx","90","29","1156",".jsx","frontend"
"frontend\src\components\dashboard\UserManagement.jsx","356","154","6780",".jsx","frontend"
"frontend\src\components\forum\CommentItem.jsx","109","55","1912",".jsx","frontend"
"frontend\src\components\forum\CommentSection.jsx","188","93","3136",".jsx","frontend"
"frontend\src\components\forum\CreatePost.jsx","302","129","4890",".jsx","frontend"
"frontend\src\components\forum\PostCard.jsx","226","96","4132",".jsx","frontend"
"frontend\src\components\forum\TopContributors.jsx","205","84","3095",".jsx","frontend"
"frontend\src\components\forum\TrendingHashtags.jsx","179","85","2744",".jsx","frontend"
"frontend\src\components\layout\Footer.jsx","125","46","2013",".jsx","frontend"
"frontend\src\components\layout\MobileNav.jsx","133","51","1713",".jsx","frontend"
"frontend\src\components\layout\Navbar.jsx","348","184","7272",".jsx","frontend"
"frontend\src\components\layout\Sidebar.jsx","204","65","2796",".jsx","frontend"
"frontend\src\contexts\AuthContext.jsx","252","137","3874",".jsx","frontend"
"frontend\src\hooks\useAuth.js","26","10","282",".js","frontend"
"frontend\src\hooks\useDebounce.js","27","17","391",".js","frontend"
"frontend\src\hooks\useGeolocation.js","44","31","773",".js","frontend"
"frontend\src\pages\AdminDashboard.jsx","997","336","15871",".jsx","frontend"
"frontend\src\pages\BudgetPage.jsx","232","71","3218",".jsx","frontend"
"frontend\src\pages\CitizenDashboard.jsx","534","204","8008",".jsx","frontend"
"frontend\src\pages\ForumPage.jsx","2045","628","30804",".jsx","frontend"
"frontend\src\pages\LandingPage.jsx","753","247","11053",".jsx","frontend"
"frontend\src\pages\LoginPage.jsx","316","131","4977",".jsx","frontend"
"frontend\src\pages\NotFoundPage.jsx","88","31","1074",".jsx","frontend"
"frontend\src\pages\OfficialDashboard.jsx","399","147","5704",".jsx","frontend"
"frontend\src\pages\RegisterPage.jsx","350","150","5483",".jsx","frontend"
"frontend\src\utils\constants.js","166","36","1610",".js","frontend"
"frontend\src\utils\formatters.js","169","60","1872",".js","frontend"
"frontend\src\utils\helpers.js","103","57","1625",".js","frontend"
"frontend\src\utils\validators.js","190","47","1652",".js","frontend"
